TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612753,Orlando Magic,2014-15,25,57,0.305,-469.0
1610612755,Philadelphia 76ers,2014-15,18,64,0.22,-736.0
1610612756,Phoenix Suns,2014-15,39,43,0.476,-74.0
1610612757,Portland Trail Blazers,2014-15,51,31,0.622,347.0
1610612758,Sacramento Kings,2014-15,29,53,0.354,-304.0
1610612759,San Antonio Spurs,2014-15,55,27,0.671,508.0
1610612761,Toronto Raptors,2014-15,49,33,0.598,252.0
1610612762,Utah Jazz,2014-15,38,44,0.463,18.0
1610612764,Washington Wizards,2014-15,46,36,0.561,59.0
1610612737,Atlanta Hawks,2013-14,38,44,0.463,-39.0
1610612738,Boston Celtics,2013-14,25,57,0.305,-366.0
1610612751,Brooklyn Nets,2013-14,44,38,0.537,-82.0
1610612766,Charlotte Bobcats,2013-14,43,39,0.524,-18.0
1610612741,Chicago Bulls,2013-14,48,34,0.585,152.0
1610612739,Cleveland Cavaliers,2013-14,33,49,0.402,-270.0
1610612742,Dallas Mavericks,2013-14,49,33,0.598,197.0
1610612743,Denver Nuggets,2013-14,36,46,0.439,-176.0
1610612765,Detroit Pistons,2013-14,29,53,0.354,-300.0
1610612744,Golden State Warriors,2013-14,51,31,0.622,394.0
1610612745,Houston Rockets,2013-14,54,28,0.659,374.0
1610612754,Indiana Pacers,2013-14,56,26,0.683,361.0
1610612746,Los Angeles Clippers,2013-14,57,25,0.695,572.0
1610612747,Los Angeles Lakers,2013-14,27,55,0.329,-516.0
1610612763,Memphis Grizzlies,2013-14,50,32,0.61,129.0
1610612748,Miami Heat,2013-14,54,28,0.659,390.0
1610612749,Milwaukee Bucks,2013-14,15,67,0.183,-671.0
1610612750,Minnesota Timberwolves,2013-14,40,42,0.488,219.0
1610612740,New Orleans Pelicans,2013-14,34,48,0.415,-222.0
1610612752,New York Knicks,2013-14,37,45,0.451,-65.0
1610612760,Oklahoma City Thunder,2013-14,59,23,0.72,520.0
1610612753,Orlando Magic,2013-14,23,59,0.28,-446.0
1610612755,Philadelphia 76ers,2013-14,19,63,0.232,-857.0
1610612756,Phoenix Suns,2013-14,48,34,0.585,216.0
1610612757,Portland Trail Blazers,2013-14,54,28,0.659,327.0
1610612758,Sacramento Kings,2013-14,28,54,0.341,-238.0
1610612759,San Antonio Spurs,2013-14,62,20,0.756,633.0
1610612761,Toronto Raptors,2013-14,48,34,0.585,266.0
1610612762,Utah Jazz,2013-14,25,57,0.305,-588.0
1610612764,Washington Wizards,2013-14,44,38,0.537,104.0
1610612737,Atlanta Hawks,2012-13,44,38,0.537,33.0
1610612738,Boston Celtics,2012-13,41,40,0.506,-18.0
1610612751,Brooklyn Nets,2012-13,49,33,0.598,146.0
1610612766,Charlotte Bobcats,2012-13,21,61,0.256,-757.0
1610612741,Chicago Bulls,2012-13,45,37,0.549,26.0
1610612739,Cleveland Cavaliers,2012-13,24,58,0.293,-384.0
1610612742,Dallas Mavericks,2012-13,41,41,0.5,-49.0
1610612743,Denver Nuggets,2012-13,57,25,0.695,417.0
1610612765,Detroit Pistons,2012-13,29,53,0.354,-327.0
1610612744,Golden State Warriors,2012-13,47,35,0.573,73.0
1610612745,Houston Rockets,2012-13,45,37,0.549,285.0
1610612754,Indiana Pacers,2012-13,49,32,0.605,326.0
1610612746,Los Angeles Clippers,2012-13,56,26,0.683,529.0
1610612747,Los Angeles Lakers,2012-13,45,37,0.549,95.0
1610612763,Memphis Grizzlies,2012-13,56,26,0.683,340.0
1610612748,Miami Heat,2012-13,66,16,0.805,645.0
1610612749,Milwaukee Bucks,2012-13,38,44,0.463,-123.0
1610612750,Minnesota Timberwolves,2012-13,31,51,0.378,-194.0
1610612740,New Orleans Hornets,2012-13,27,55,0.329,-317.0
